Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3
,,Au Pair 🇺🇸 ,
,,,
,,OBJETO,MENSAJE
,,INFO INICIAL,"✨ El programa Au Pair en USA 👩🏻‍🍼 es tu oportunidad de vivir un intercambio cultural único: convivirás con una familia anfitriona americana , cuidarás de sus hijos y, al mismo tiempo, disfrutarás de beneficios que harán tu experiencia inolvidable. 💖

Lo que recibirás:
🏡 Alojamiento y comida incluidos.
💵Remuneración semanal.
📚 Bono especial para que estudies un curso en EE. UU. UU.
🌎 Una experiencia cultural que transformará tu vida."
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,REQUISITOS,"⚠️ Para aplicar necesitas:
✅ Tener entre 18 y 26 años .
✅ Experiencia en cuidado de niños ( 1000 horas certificadas ).
✅ Nivel de inglés intermedio/avanzado .
✅ No tener antecedentes penales.
✅Ser bachiller académico.
✅ Licencia de conducción con más de 6 meses de vigencia.

👉 ¡Cumples con los requisitos?"
,,,
,,,
,,,
,,,
,,,
,,,
,,SPONSOR,Interexchange
